Airport,Destination Minima,Alternate Minima
YARM,1429-5.0,929-5.1
YBAR,,
YBBN,1209-5.0,817-3.1
YBCG,1497-5.0,1077-5.9
YBCK,,
YBCS,1790-6.5,1420-5.5
YBCV,1419-5.0,1177-5.5
YBDG,1460-5.0,1380-5.5
YBHI,1471-5.2,923-5.0
YBHM,1735-6.9,1425-5.5
YBMA,1638-5.6,1629-5.5
YBMK,1355-5.0,831-4.5
YBNA,1484-5.0,1323-5.5
YBOK,1256-5.0,1434-5.5
YBPN,1502-5.0,922-5.0
YBRK,1462-5.0,932-5.1
YBSU,1435-5.0,1445-5.5
YBTH,1458-5.0,1718-6.5
YBTL,1442-5.1,1192-5.7
YBUD,1320-5.0,853-4.6
YBWP,1373-5.0,847-4.5
YBWW,1661-6.2,1661-6.2
YCCY,1448-5.0,1257-6.5
YCDU,1503-5.4,1163-5.5
YCFS,1506-5.0,1032-5.7
YCKN,1477-5.3,1774-5.5
YCOM,1683-6.5,1354-5.5
YDPO,1608-5.5,1357-5.5
YEML,1380-5.0,1198-5.5
YGFN,1337-5.0,1130-5.5
YGLA,1630-5.6,1411-5.5
YGTH,1503-5.0,1201-5.5
YHBA,1425-5.0,1140-5.5
YHID,1647-5.7,1287-5.5
YKII,1428-5.0,1108-5.5
YKSC,1319-5.0,1346-5.5
YLRE,1416-5.0,1083-5.5
YMAV,1335-5.0,835-4.5
YMAY,1681-6.5,1561-6.5
YMEN,1418-5.0,1278-5.5
YMER,1662-5.8,1582-5.5
YMHB,1357-5.0,957-5.2
YMIA,1319-5.0,793-4.3
YMLS,,
YMLT,1460-5.0,978-5.3
YMML,1365-5.0,955-4.7
YMOR,1349-5.0,1049-5.5
YMRB,1350-5.0,1210-5.5
YMRY,1514-5.0,1161-5.5
YMTG,1336-5.0,1068-5.5
YMYB,1372-5.0,1072-5.5
YNAR,1501-5.0,1166-5.5
YORG,1429-5.0,1498-5.5
YPAD,1500-5.0,1380-5.5
YPAG,1544-5.1,1314-5.5
YPED,1219-5.0,1133-5.5
YPLC,1611-6.1,1474-5.5
YPMQ,1468-5.0,1315-5.5
YROM,1403-5.0,1213-5.5
YSCB,2376-7.0,1993-5.5
YSDU,1416-5.0,1245-5.5
YSNW,1723-6.7,1581-5.5
YSRI,1207-5.0,1323-5.5
YSSY,1210-5.0,884-4.2
YSTW,1377-5.0,877-4.8
YSWG,1339-5.0,949-4.6
YTNG,1450-5.0,1456-5.5
YWHA,1365-5.0,1499-5.5
YWLM,1394-5.0,944-5.2
YWTN,1472-5.2,1012-5.5
YWYY,1498-5.4,1507-5.5
